name,symbol
DAX, ^GDAXI
Adidas, ADS.DE
Allianz, ALV.DE
BASF, BAS.DE
Bayer, BAYN.DE
Beiersdorf, BEI.DE
BMW, BMW.DE
Commerzbank, CBK.DE
Daimler, DAI.DE
Deutsche Boerse, DB1.DE
Deutsche Bank, DBK.DE
Deutsche Post, DPW.DE
Deutsche Telekom, DTE.DE
EON, EOAN.DE
FRESENIUS MED CARE, FME.DE
HENKEL VZ, HEN3.DE
HeidelbergCement,HEI.DE
INFINEON TECHNO, IFX.DE
DT.LUFTHANSA, LHA.DE
LINDE, LIN.DE
#MAN, MAN.DE
Metro, B4B.DE
MERCK, MRK.DE
MUENCH RUECKVERS, MUV2.DE
RWE, RWE.DE
SAP, SAP.DE
K u S AG, SDF.DE
Siemens, SIE.DE
Salzgitter, SZG.DE
THYSSENKRUPP,TKA.DE
VOLKSWAGEN Vz, VOW3.DE
VOLKSWAGEN AG, VOW.DE
GEA, G1A.DE
Royal Dutch, R6C.DE
Continental, CON.DE
BHP Billiton, BIL.DE
Vonovia, VNA.DE
Total SE, Totb.de
Hann. Rueck, hnr1.de
Ceconomy AG, CEC.DE
