,name,symbol,period,multiplier
0,Ambev SA,ABEV,12,3
1,Aurora Cannabis Inc,ACB,12,3
2,ADT Inc,ADT,12,3
3,First Majestic Silver Corporation,AG,12,3
4,AMC Entertainment Holdings Inc,AMC,12,3
5,Yamana Gold Inc,AUY,12,3
6,Boeing Co,BA,12,3
7,Alibaba Group Holding Limited,BABA,12,3
8,Bank of America Corporation,BAC,12,3
9,BlackBerry Limited,BB,12,3
10,Banco Bradesco SA,BBD,12,3
11,Baker Hughes Holdings LLC,BKR,12,3
12,Bristol Myers Squibb Co,BMY,12,3
13,BP Plc,BP,12,3
14,Boston Scientific Corporation,BSX,12,3
15,Citigroup Inc,C,12,3
16,Churchill Capital Corp IV,CCIV,12,3
17,Carnival Corp,CCL,12,3
18,Cleveland Cliffs Inc,CLF,12,3
19,ConocoPhillips,COP,12,3
20,Coty Inc,COTY,12,3
21,Salesforce Com Inc,CRM,12,3
22,Cenovus Energy Inc,CVE,12,3
23,Chevron Corporation,CVX,12,3
24,Cemex SaB De Cv,CX,12,3
25,Delta Air Lines Inc,DAL,12,3
26,Walt Disney Co,DIS,12,3
27,Devon Energy Corp,DVN,12,3
28,EnLink Midstream LLC,ENLC,12,3
29,Energy Transfer LP,ET,12,3
30,Eaton Vance Corp,EV,12,3
31,Express Inc,EXPR,12,3
32,Ford Motor Company,F,12,3
33,Freeport McMoRan Inc,FCX,12,3
34,Fisker Inc,FSR,12,3
35,Farfetch Limited,FTCH,12,3
36,TechnipFMC Limited,FTI,12,3
37,General Electric Company,GE,12,3
38,General Motors Company,GM,12,3
39,GameStop Corp Holding Company,GME,12,3
40,Barrick Gold Corporation,GOLD,12,3
41,Halliburton Co,HAL,12,3
42,Hecla Mining Company,HL,12,3
43,Hewlett Packard Enterprise Company,HPE,12,3
44,HP Inc,HPQ,12,3
45,Itau Unibanco Holding SA,ITUB,12,3
46,Just Energy Group Inc,JE,12,3
47,Johnson and Johnson,JNJ,12,3
48,JP Morgan Chase and Co,JPM,12,3
49,Kinross Gold Corporation,KGC,12,3
50,Kinder Morgan Inc,KMI,12,3
51,Coca Cola Company,KO,12,3
52,Lumen Technologies Inc,LUMN,12,3
53,Macys Inc,M,12,3
54,MGM Resorts International,MGM,12,3
55,Altria Group Inc,MO,12,3
56,Merck and Co Inc,MRK,12,3
57,Marathon Oil Corp,MRO,12,3
58,Morgan Stanley,MS,12,3
59,Norwegian Cruise Line Holdings Ltd,NCLH,12,3
60,NextEra Energy Inc,NEE,12,3
61,NIO Inc,NIO,12,3
62,Annaly Capital Management Inc,NLY,12,3
63,Nokia Corp,NOK,12,3
64,Oracle Corp,ORCL,12,3
65,Occidental Petroleum Corporation,OXY,12,3
66,Petroleo Brasileiro ADR,PBR,12,3
67,PG&E Corporation,PCG,12,3
68,Pfizer Inc,PFE,12,3
69,Procter and Gamble Co,PG,12,3
70,Pinterest Inc,PINS,12,3
71,Palantir Technologies Inc,PLTR,12,3
72,Perrigo Company Plc Ireland,PRGO,12,3
73,Quantumscape Corp,QS,12,3
74,Regions Financial Corporation,RF,12,3
75,Transocean Ltd,RIG,12,3
76,Rocket Companies Inc,RKT,12,3
77,Schlumberger Ltd,SLB,12,3
78,Snap Inc,SNAP,12,3
79,SOS Limited,SOS,12,3
80,Virgin Galactic Holdings Inc,SPCE,12,3
81,Square Inc,SQ,12,3
82,Southwestern Energy,SWN,12,3
83,AT&T Inc,T,12,3
84,Truist Financial Corporation,TFC,12,3
85,Tencent Music Entertainment Group,TME,12,3
86,Taiwan Semiconductor Manufacturing Co Ltd,TSM,12,3
87,Twitter Inc,TWTR,12,3
88,Uber Technologies Inc,UBER,12,3
89,Visa Inc,V,12,3
90,Vale SA,VALE,12,3
91,Vipshop Holdings Ltd,VIPS,12,3
92,Vistra Corp,VST,12,3
93,Verizon Communications Inc,VZ,12,3
94,Wells Fargo and Company,WFC,12,3
95,Walmart Inc,WMT,12,3
96,Slack Technologies Inc,WORK,12,3
97,US Steel Corp,X,12,3
98,Exxon Mobil Corp,XOM,12,3
99,XPeng Inc,XPEV,12,3
